Coordinate	Gene	chromosome	strand	cassette_exon_start_coor	cassette_exon_end_coor
chr11:65540012-65540153	LTBP3	chr11	-	65540012	65540153
chr1:1657255-1657302	CDK11B	chr1	-	1657255	1657302
chr11:72704151-72704334	ARAP1	chr11	-	72704151	72704334
chr10:130179341-130179420	GLRX3	chr10	+	130179341	130179420
chr1:173715522-173715654	KLHL20	chr1	+	173715522	173715654
chr1:174272413-174272480	RABGAP1L	chr1	+	174272413	174272480
chr1:1754050-1754208	NADK	chr1	-	1754050	1754208
chr1:17639237-17639981	ARHGEF10L	chr1	+	17639237	17639981
chr11:85663178-85663293	CREBZF	chr11	-	85663178	85663293
chr11:93170110-93170221	SLC36A4	chr11	-	93170110	93170221
chr11:94476288-94476403	MRE11A	chr11	-	94476288	94476403
chr11:96386253-96387613	CCDC82	chr11	-	96386253	96387613
chr1:200828572-200828605	CAMSAP2	chr1	+	200828572	200828605
chr1:202501858-202502005	PPP1R12B	chr1	+	202501858	202502005
chr1:202954240-202954307	ADIPOR1	chr1	-	202954240	202954307
chr12:103983135-103983218	TDG	chr12	+	103983135	103983218
chr12:105111124-105111264	KIAA1033	chr12	+	105111124	105111264
chr12:109209164-109209353	ACACB	chr12	+	109209164	109209353
chr12:110388511-110388623	ANAPC7	chr12	-	110388511	110388623
chr12:110499534-110499546	VPS29	chr12	-	110499534	110499546
chr12:111464661-111464715	ATXN2	chr12	-	111464661	111464715
chr10:100236849-100236969	CWF19L1	chr10	-	100236849	100236969
chr10:15140986-15141029	NMT2	chr10	-	15140986	15141029
chr12:122490461-122490567	ZCCHC8	chr12	-	122490461	122490567
chr12:122940806-122940995	ABCB9	chr12	-	122940806	122940995
chr1:213000785-213000912	ANGEL2	chr1	-	213000785	213000912
chr12:132571067-132571136	FBRSL1	chr12	+	132571067	132571136
chr1:21756828-21756963	USP48	chr1	-	21756828	21756963
chr1:220657789-220657834	MARK1	chr1	+	220657789	220657834
chr12:21515237-21515270	GOLT1B	chr12	+	21515237	21515270
chr12:22472743-22472807	C2CD5	chr12	-	22472743	22472807
chr1:224304735-224304812	NVL	chr1	-	224304735	224304812
